chr16	67816594	67816887	.	1000	.	142.92012	-1.00000	4.46830	145
chr1	114346595	114346803	.	1000	.	135.23737	-1.00000	4.46830	97
chr10	75235990	75236198	.	1000	.	134.57170	-1.00000	4.46830	111
chr7	151172607	151172830	.	1000	.	132.92588	-1.00000	4.46830	123
chr3	51973993	51974185	.	1000	.	129.88666	-1.00000	4.46830	109
chr16	75464763	75464975	.	1000	.	129.40738	-1.00000	4.46830	120
chr19	47349025	47349272	.	1000	.	129.23199	-1.00000	4.46830	129
chrX	52934808	52935010	.	1000	.	128.52194	-1.00000	4.46830	104
chr5	157743564	157743762	.	1000	.	128.51173	-1.00000	4.46830	104
chr1	230642257	230642486	.	1000	.	128.20597	-1.00000	4.46830	98
chr6	138988267	138988464	.	1000	.	128.05495	-1.00000	4.46830	93
chr5	141524797	141524997	.	1000	.	127.58733	-1.00000	4.46830	103
chr19	49680736	49680991	.	1000	.	127.38788	-1.00000	4.46830	138
chr14	55271150	55271347	.	1000	.	125.77398	-1.00000	4.46830	116
chr1	36088702	36088936	.	1000	.	125.51202	-1.00000	4.46830	100
chr22	21938099	21938341	.	1000	.	124.81213	-1.00000	4.46830	131
chr6	136226317	136226521	.	1000	.	124.29891	-1.00000	4.46830	94
chr3	51942127	51942346	.	1000	.	123.05531	-1.00000	4.46830	99
chr15	82540454	82540680	.	1000	.	122.99120	-1.00000	4.46830	115
chr17	5439126	5439348	.	1000	.	122.64734	-1.00000	4.46830	102
chr14	49862124	49862338	.	1000	.	120.86729	-1.00000	4.46830	113
chr17	41662724	41662952	.	1000	.	120.76325	-1.00000	4.46830	123
chr7	43838945	43839159	.	1000	.	119.56032	-1.00000	4.46830	96
chr6	146857549	146857743	.	1000	.	119.38567	-1.00000	4.46830	83
chrX	52921177	52921382	.	1000	.	119.18236	-1.00000	4.46830	92
chr17	43483661	43483924	.	1000	.	119.14198	-1.00000	4.46830	123
chr9	126860318	126860479	.	1000	.	118.18991	-1.00000	4.46830	88
chr14	55051454	55051700	.	1000	.	118.10610	-1.00000	4.46830	115
chr21	43789373	43789584	.	1000	.	117.06140	-1.00000	4.46830	95
chr7	40134810	40135020	.	1000	.	117.03603	-1.00000	4.46830	105
chr16	4254106	4254289	.	1000	.	116.99838	-1.00000	4.46830	62
chr7	4792143	4792338	.	1000	.	116.86371	-1.00000	4.46830	110
chr9	136944772	136944976	.	1000	.	116.32263	-1.00000	4.46830	103
chr1	85259632	85259851	.	1000	.	116.15874	-1.00000	4.46830	141
chr17	45135362	45135569	.	1000	.	116.14185	-1.00000	4.46830	74
chr13	25287454	25287650	.	1000	.	116.07935	-1.00000	4.46830	98
chr11	78046247	78046448	.	1000	.	114.99946	-1.00000	4.46830	129
chr19	33778099	33778300	.	1000	.	114.99204	-1.00000	4.46830	96
chr8	22574448	22574689	.	1000	.	114.86538	-1.00000	4.46830	125
chr17	78250970	78251161	.	1000	.	114.74266	-1.00000	4.46830	77
chr14	23120849	23121049	.	1000	.	114.69357	-1.00000	4.46830	134
chr10	130190173	130190382	.	1000	.	114.69350	-1.00000	4.46830	110
chr20	47384119	47384320	.	1000	.	114.54958	-1.00000	4.46830	75
chr10	117216684	117216861	.	1000	.	114.27838	-1.00000	4.46830	120
chr10	32346215	32346441	.	1000	.	113.83619	-1.00000	4.46830	116
chr1	222465389	222465597	.	1000	.	113.34467	-1.00000	4.46830	119
chr20	58209893	58210126	.	1000	.	113.32523	-1.00000	4.46830	143
chr1	206612474	206612657	.	1000	.	112.90328	-1.00000	4.46830	76
chr20	38435350	38435543	.	1000	.	112.26211	-1.00000	4.46830	97
chr10	95694086	95694305	.	1000	.	111.61971	-1.00000	4.46830	118
chr12	1796110	1796298	.	1000	.	111.57378	-1.00000	4.46830	95
chr11	518739	518946	.	1000	.	111.26905	-1.00000	4.46830	79
chr6	44151926	44152108	.	1000	.	111.25268	-1.00000	4.46830	104
chr13	80342938	80343089	.	1000	.	111.14612	-1.00000	4.46830	95
chr11	69918796	69919200	.	1000	.	110.76752	-1.00000	4.46830	202
chr4	185597655	185597854	.	1000	.	110.58569	-1.00000	4.46830	125
chr1	212035053	212035457	.	1000	.	110.50541	-1.00000	4.46830	202
chr19	38403012	38403212	.	1000	.	110.47169	-1.00000	4.46830	109
chr1	150979604	150979737	.	1000	.	110.23097	-1.00000	4.46830	38
chr6	83065785	83065987	.	1000	.	109.88036	-1.00000	4.46830	81
chr19	49474038	49474254	.	1000	.	109.80814	-1.00000	4.46830	113
chr17	56961001	56961199	.	1000	.	109.72587	-1.00000	4.46830	103
chr6	107028019	107028220	.	1000	.	109.70860	-1.00000	4.46830	90
chr3	50260058	50260255	.	1000	.	109.56580	-1.00000	4.46830	82
chr14	92686988	92687159	.	1000	.	109.52550	-1.00000	4.46830	80
chr20	3820193	3820351	.	1000	.	109.32954	-1.00000	4.46830	84
chr1	3491301	3491478	.	1000	.	109.30128	-1.00000	4.46830	86
chr1	9627039	9627241	.	1000	.	109.29755	-1.00000	4.46830	121
chr9	128117713	128117900	.	1000	.	109.16791	-1.00000	4.46830	85
chr11	3091869	3092048	.	1000	.	109.12739	-1.00000	4.46830	77
chr2	85420787	85420946	.	1000	.	108.76415	-1.00000	4.46830	56
chr16	50024955	50025165	.	1000	.	108.72578	-1.00000	4.46830	99
chr16	55465084	55465488	.	1000	.	108.71723	-1.00000	4.46830	202
chr17	19362997	19363142	.	1000	.	108.64969	-1.00000	4.46830	46
chr6	25992545	25992731	.	1000	.	108.57194	-1.00000	4.46830	138
chr13	52450530	52450865	.	1000	.	108.28276	-1.00000	4.46830	209
chr15	40274778	40274954	.	1000	.	108.25826	-1.00000	4.46830	65
chr16	23596302	23596448	.	1000	.	108.21226	-1.00000	4.46830	91
chr4	10018861	10019023	.	1000	.	107.91460	-1.00000	4.46830	79
chr11	72643100	72643270	.	1000	.	107.47619	-1.00000	4.46830	102
chr10	102399584	102399752	.	1000	.	107.01552	-1.00000	4.46830	87
chr7	91880682	91880874	.	1000	.	106.84510	-1.00000	4.46830	107
chr12	57239162	57239335	.	1000	.	106.66734	-1.00000	4.46830	78
chr9	124772111	124772299	.	1000	.	106.66487	-1.00000	4.46830	77
chr1	31964175	31964365	.	1000	.	106.59373	-1.00000	4.46830	112
chr14	105480950	105481138	.	1000	.	106.52547	-1.00000	4.46830	103
chr3	3179677	3179846	.	1000	.	106.28142	-1.00000	4.46830	84
chr6	13615189	13615371	.	1000	.	106.06230	-1.00000	4.46830	86
